Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.38557052612305,35.25069620600811,26.767993469907726,28.90878995513679,855215656
2007-10-08,30.727664947509766,33.48011655616869,30.534509606022688,33.48011655616869,126671715
2007-10-09,32.8201789855957,33.109909879074095,29.08585756305142,30.743766243977518,116725709
2007-10-10,33.12599182128906,33.802033183580555,32.836261056413925,33.673262256712725,67931378
2007-10-11,36.828128814697266,38.63090483962656,32.83627042359523,38.63090483962656,106320954
2007-10-12,36.58668899536133,37.954866688520234,35.733590836431546,36.05551499952776,99410791
2007-10-15,37.0695686340332,37.56855361773639,36.747644528305386,37.34320499717687,41814972
2007-10-16,40.852195739746094,41.496048614874496,36.86033585876373,37.11787351571338,138614496
2007-10-17,44.039215087890625,45.069369280588454,34.15614423802056,36.69934517884656,204876259
2007-10-18,42.493988037109375,48.11156507806141,40.6751178265235,44.747456636582996,146617799
2007-10-19,42.34913635253906,44.0714315530647,40.240530397481606,41.52822709075295,110266491
2007-10-22,41.7857551574707,43.089545879409556,40.40147905258388,41.496024371081475,72253405
2007-10-23,44.76356887817383,45.1659741058401,42.81592495644339,42.81592495644339,74594921
2007-10-24,44.07142639160156,46.1961265599384,43.57244136157235,45.713235990139744,63055170
2007-10-25,43.97484588623047,45.00500485164343,38.84015425191117,42.5744750435638,34522489
2007-10-26,45.29474639892578,46.01907586459138,43.540257724429615,44.74747350053895,62370025
2007-10-29,46.212223052978516,47.322863116257366,45.80981786575801,46.03516651715179,43657697
2007-10-30,47.24237823486328,48.51397590318908,45.45569672915499,46.839973080385114,79921711
2007-10-31,48.22425079345703,49.28660314729394,47.322864886906835,47.48382696781765,44655368
2007-11-01,47.14578628540039,49.785565168242606,46.75948005601141,49.41535339435448,50632492
2007-11-02,47.9988899230957,48.288625088129564,45.06937992248777,45.4395961075033,32001693
2007-11-05,48.980770111083984,50.05921685301193,47.67697472467834,47.966709943685544,38833135
2007-11-06,49.62461471557617,52.76337484710276,48.9485731985877,49.83386451773623,81880281
2007-11-07,48.90028762817383,51.25033203328233,47.80574645821063,50.54210156630636,33593141
2007-11-08,48.06327819824219,49.36707338822758,47.00093044317995,47.64477862597523,27990521
2007-11-12,49.222206115722656,50.09140291461179,45.34301816971738,46.614620085430204,35153735
2007-11-13,50.39725112915039,51.411311611966966,48.46570568897523,50.05923242367052,43830531
2007-11-14,49.7372932434082,51.990762246708975,49.47975130891987,51.28252738483562,36738579
2007-11-15,50.574302673339844,51.45959416874133,49.62462459535869,50.670878180833185,29242252
2007-11-16,50.220184326171875,51.363013399211226,49.64071819218804,50.348953122709595,18895294
2007-11-19,52.039039611816406,53.92229634780653,50.9766918973475,51.36299817243857,40716718
2007-11-20,51.234249114990234,53.278468676584815,50.60649517281405,51.82980976360265,26342171
2007-11-21,47.24237823486328,51.8458914555434,46.099544976320054,51.540066157965214,26814499
2007-11-22,45.61666488647461,48.64275554561221,43.63683213516187,46.74339946957343,34096185
2007-11-23,48.64274978637695,48.93248062873772,45.906390327885084,48.61055650025344,27664090
2007-11-26,49.02906799316406,50.44553362821821,48.64276156526375,50.44553362821821,20159123
2007-11-27,47.82184982299805,49.866069304736214,47.322869074569425,49.866069304736214,20573198
2007-11-28,47.113609313964844,49.09344634450187,46.79168516153616,48.868097691251485,16435311
2007-11-29,45.842002868652344,48.54616436475616,45.24644242593084,48.288626838031966,25530967
2007-11-30,47.61259460449219,47.90232546982944,46.035167123099754,46.67901543112734,18437721
2007-12-03,48.288639068603516,48.88419966216892,47.82184727101483,48.19205919683893,16851227
2007-12-04,47.66088104248047,49.0129641986734,47.30676360953702,48.61055901723213,14008727
2007-12-05,49.56023025512695,49.73729114631763,47.644784302908285,47.74135979528469,27725290
2007-12-06,48.64274978637695,51.39519933836742,48.01499598928242,50.63867676315426,24104710
2007-12-07,48.433509826660156,49.64072566283553,47.56431704443992,48.94858945670366,11742386
2007-12-10,48.481781005859375,49.07733706795141,47.854027295728784,48.90028056836321,8330010
2007-12-11,48.256446838378906,49.19002608769424,48.01500370322618,48.916389661245915,11685950
2007-12-12,48.22425079345703,48.65884928519141,47.322864886906835,47.64478904872846,16342131
2007-12-13,47.419437408447266,48.93248262045978,47.24238087712427,48.28863433728435,14620172
2007-12-14,46.9526481628418,47.693076347841625,46.711205043763215,47.25847786022501,10991851
2007-12-17,44.119720458984375,47.48382990463697,43.45977326660754,47.22628793942546,19355678
2007-12-18,43.92655944824219,45.39131254089077,42.55838185118833,43.62072976823285,21607783
2007-12-19,43.12174987792969,45.72933633634023,42.75153798294486,45.34302561421434,19526912
2007-12-20,42.68714904785156,44.039232134188076,42.49399369746414,43.68511471954037,17105204
2007-12-24,43.990943908691406,44.68307990419135,42.97687942180443,43.33099683259231,16711519
2007-12-26,45.32693099975586,45.87420379318257,44.23238977927809,44.23238977927809,20930094
2007-12-27,45.64885330200195,46.90435654440217,45.262542596782424,46.26050827995329,44565277
2007-12-28,46.00296401977539,46.19611934424949,45.06938067921305,45.55226680721087,18354518
2007-12-31,46.34100341796875,46.61463988692223,45.77763601510204,46.35710224930532,11982308
2008-01-01,47.19407653808594,47.6286748899303,46.14782334893722,46.58242170078159,16687746
2008-01-02,46.936561584472656,47.54821671559102,46.24442540014461,47.194099208193045,13437280
2008-01-03,48.86810302734375,49.06125841316748,46.083459678045074,46.646827006311476,31815218
2008-01-04,48.610557556152344,50.2201782335373,48.28863342067535,49.576329962583316,28011310
2008-01-07,48.20816421508789,49.31880013516213,47.693084598670445,48.30473973287639,15858063
2008-01-08,46.56632995605469,48.932472794881036,46.0029628213996,48.256431360019974,13282666
2008-01-09,45.825904846191406,46.82387042086799,45.71323053888719,46.614620630945886,13113527
2008-01-10,44.731380462646484,47.322873031129596,44.42555070973257,46.03517616223165,18023003
2008-01-11,45.40739822387695,45.84199656100336,43.620717141551566,45.34301166786773,11629440
2008-01-14,46.09955596923828,46.582442269761344,44.76357141106643,45.487900861851024,10264240
2008-01-15,44.69917678833008,47.03312682125555,44.32896489776186,46.83997582887257,11558334
2008-01-16,43.78169250488281,44.74746494103277,42.67105682313576,44.37725304711709,14834065
2008-01-17,44.956722259521484,45.95468805298553,43.00907842448863,43.94265763784171,16169395
2008-01-18,42.86421585083008,44.63479880191813,42.493999558865376,44.58650668287853,13254156
2008-01-21,35.57262420654297,42.49399282814056,30.9852032857848,42.49399282814056,33202389
2008-01-22,31.999277114868164,33.80205372084156,25.415924701589837,32.06366152582683,58755707
2008-01-23,35.57262420654297,36.94080172476575,32.51434504816264,32.51434504816264,28425991
2008-01-24,35.653099060058594,38.180203852695854,33.962997712714355,37.48806798372504,29911930
2008-01-25,37.48808288574219,37.66513944596316,35.97503742678064,37.34321525183316,12550722
2008-01-28,37.89047622680664,38.180207037242404,33.963000545510845,36.972991688447586,13601109
2008-01-29,37.26272201538086,38.53432391282838,36.699354859919914,37.987051215259214,7679877
2008-01-30,35.20241928100586,37.50417633343792,34.73562746560564,37.343214240731115,9016102
2008-01-31,32.900665283203125,35.66921459179111,32.51435663584371,35.57263688415414,41538563
2008-02-01,34.04348373413086,34.284926819247026,33.15819242203822,33.46401989321452,9089201
2008-02-04,35.7979621887207,36.21646388489404,34.68732466735901,34.68732466735901,12009385
2008-02-05,36.90860366821289,37.39148978869355,35.08973348767737,35.86235040717146,14593303
2008-02-06,36.58668899536133,37.0212874888164,34.542471869613145,35.89455291797965,12429218
2008-02-07,34.8643913269043,37.3271121520985,34.63904487979057,36.087703418191516,11300078
2008-02-08,33.9630126953125,35.37947833801124,33.335258742818844,35.089747423928216,13514197
